t (s),V (mV)
0,20.7107
0.974,20.4008
1.909,20.1918
2.851,20.026
3.823,19.8754
4.819,19.7402
5.82,19.6173
6.819,19.5023
7.82,19.3929
8.82,19.2892
9.819,19.1885
10.819,19.0913
11.82,18.9969
12.819,18.9033
13.82,18.812
14.82,18.7222
15.819,18.633
16.82,18.5464
17.82,18.4599
18.819,18.3744
19.82,18.2898
20.819,18.2056
21.82,18.122
22.819,18.0405
23.819,17.958
24.819,17.8765
25.819,17.7947
26.819,17.7148
27.82,17.6344
28.82,17.5552
29.82,17.4761
30.819,17.3988
31.819,17.3204
32.82,17.2436
33.82,17.1663
34.82,17.0893
35.819,17.0149
36.819,16.9406
37.819,16.8669
38.82,16.7933
39.819,16.7198
40.82,16.647
41.819,16.5745
42.819,16.5021
43.819,16.4297
44.82,16.358
45.819,16.2864
46.819,16.2145
47.82,16.1427
48.819,16.0719
49.819,16.0011
50.82,15.9307
51.819,15.8605
52.819,15.7867
53.82,15.7208
54.82,15.6525
55.819,15.5846
56.819,15.5168
57.82,15.4497
58.82,15.3823
59.819,15.3165
60.819,15.2506
61.82,15.1848
62.82,15.1203
63.82,15.0554
64.819,14.9902
65.819,14.9253
66.819,14.8606
67.819,14.7972
68.819,14.7324
69.82,14.6687
70.819,14.6083
71.82,14.5486
72.82,14.4869
73.819,14.4244
74.819,14.362
75.82,14.2961
76.819,14.2332
77.819,14.1728
78.819,14.1115
79.82,14.0504
80.819,13.9887
81.819,13.929
82.819,13.8687
83.819,13.809
84.82,13.7502
85.82,13.6927
86.82,13.6331
87.819,13.5758
88.819,13.5144
89.819,13.4577
90.82,13.4009
91.82,13.344
92.82,13.2868
93.82,13.2302
94.82,13.1722
95.819,13.1171
96.82,13.0606
97.82,13.0049
98.82,12.9492
99.82,12.894
100.819,12.8394
101.82,12.7834
102.82,12.7289
103.819,12.674
104.819,12.6135
105.82,12.563
106.82,12.5105
107.819,12.4575
108.819,12.405
109.819,12.3524
110.819,12.2993
111.819,12.2465
112.819,12.1958
113.819,12.1443
114.819,12.0929
115.82,12.0409
116.82,11.9878
117.82,11.9392
118.82,11.8884
119.819,11.838
120.819,11.7874
121.819,11.736
122.819,11.6695
123.819,11.6307
124.819,11.5824
125.82,11.5356
126.819,11.4874
127.819,11.4382
128.819,11.3889
129.819,11.3315
130.819,11.2847
131.819,11.2402
132.819,11.1937
133.819,11.1471
134.819,11.0995
135.819,11.0511
136.819,11.0027
137.819,10.9577
138.819,10.9123
139.819,10.8659
140.819,10.82
141.819,10.7752
142.819,10.7284
143.82,10.6842
144.819,10.6368
145.818,10.5915
146.819,10.5485
147.818,10.5033
148.818,10.4595
149.818,10.4158
150.818,10.3718
151.819,10.3283
152.818,10.284
153.819,10.2394
154.819,10.1977
155.819,10.1545
156.819,10.1112
157.818,10.0683
158.818,10.0256
159.819,9.9808
160.82,9.939
161.819,9.8961
162.819,9.8553
163.819,9.8126
164.82,9.7714
165.82,9.7298
166.82,9.6886
167.819,9.6476
168.819,9.6068
169.819,9.5651
170.819,9.5255
171.82,9.4843
172.82,9.4445
173.819,9.404
174.82,9.3637
175.82,9.3244
176.819,9.2853
177.82,9.2459
178.819,9.2064
179.82,9.1673
180.819,9.1289
181.82,9.0899
182.819,9.0521
183.819,9.0134
184.82,8.9764
185.819,8.9391
186.819,8.9012
187.82,8.8637
188.82,8.8271
189.819,8.7901
190.819,8.752
191.82,8.7167
192.819,8.6791
193.819,8.6425
194.82,8.6069
195.82,8.5702
196.819,8.5333
197.819,8.4976
198.819,8.4621
199.819,8.4262
200.819,8.3677
201.819,8.3246
202.82,8.2923
203.82,8.2562
204.82,8.2208
205.82,8.1855
206.82,8.1498
207.819,8.1148
208.819,8.0794
209.819,8.0449
210.819,8.0097
211.82,7.9759
212.82,7.9407
213.819,7.9067
214.819,7.8728
215.819,7.838
216.819,7.8044
217.82,7.7667
218.82,7.7357
219.82,7.7026
220.819,7.6696
221.819,7.6357
222.819,7.6021
223.819,7.5689
224.819,7.536
225.819,7.504
226.819,7.4707
227.819,7.4386
228.82,7.4076
229.82,7.3752
230.82,7.3414
231.82,7.3108
232.819,7.2787
233.819,7.2475
234.819,7.215
235.82,7.1842
236.82,7.1526
237.819,7.1209
238.82,7.0897
239.82,7.0563
240.82,7.0259
241.82,6.9966
242.819,6.9665
243.819,6.9387
244.82,6.9098
245.82,6.8803
246.82,6.8505
247.82,6.819
248.82,6.789
249.82,6.7599
250.82,6.729
251.82,6.7001
252.82,6.6717
253.819,6.6422
254.819,6.608
255.819,6.5854
256.82,6.5567
257.819,6.5286
258.819,6.5009
259.819,6.4718
260.819,6.4432
261.819,6.414
262.819,6.388
263.819,6.3545
264.819,6.334
265.82,6.3077
266.82,6.2786
267.819,6.2503
