t (s),V (mV)
0,18.3094
1.05,18.2663
2.075,18.2307
3.075,18.1913
4.074,18.1517
5.074,18.1101
6.075,18.0687
7.074,18.0263
8.075,17.9841
9.075,17.9414
10.075,17.8823
11.075,17.8174
12.074,17.8849
13.074,17.8895
14.075,17.9157
15.075,17.91
16.074,17.8861
17.075,17.8495
18.075,17.8089
19.074,17.7686
20.075,17.7263
21.075,17.6847
22.075,17.6421
23.074,17.6005
24.074,17.5574
25.074,17.5149
26.074,17.4719
27.075,17.4282
28.075,17.3866
29.074,17.3452
30.074,17.3019
31.074,17.2595
32.074,17.2175
33.075,17.175
34.075,17.1338
35.074,17.0907
36.074,17.0497
37.074,17.0078
38.075,16.9656
39.074,16.9235
40.074,16.8828
41.075,16.8421
42.074,16.8001
43.074,16.7589
44.075,16.7173
45.075,16.6764
46.074,16.6352
47.075,16.594
48.074,16.5523
49.075,16.5098
50.074,16.4697
51.074,16.4214
52.075,16.3776
53.075,16.3371
54.074,16.2974
55.074,16.2596
56.075,16.2221
57.075,16.1811
58.074,16.1376
59.075,16.0993
60.075,16.0599
61.074,16.0157
62.074,15.9796
63.075,15.9413
64.075,15.9023
65.074,15.8602
66.074,15.8098
67.075,15.7853
68.074,15.7485
69.074,15.7108
70.075,15.6732
71.074,15.6336
72.074,15.596
73.075,15.5572
74.075,15.5195
75.074,15.4817
76.074,15.4438
77.075,15.4049
78.074,15.3666
79.074,15.3288
80.075,15.2911
81.075,15.2524
82.074,15.2149
83.075,15.1767
84.075,15.1387
85.074,15.1024
86.074,15.0653
87.075,15.0282
88.075,14.9912
89.074,14.9545
90.074,14.9183
91.075,14.882
92.074,14.8454
93.074,14.8095
94.075,14.774
95.074,14.7387
96.074,14.7038
97.074,14.6686
98.075,14.6333
99.074,14.5984
100.075,14.5626
101.074,14.5278
102.075,14.4927
103.074,14.458
104.075,14.4227
105.075,14.3886
106.074,14.3533
107.075,14.3174
108.075,14.2825
109.074,14.247
110.074,14.2118
111.074,14.1771
112.075,14.1428
113.074,14.1086
114.074,14.0736
115.075,14.0398
116.074,14.0067
117.074,13.9736
118.075,13.9402
119.074,13.9068
120.075,13.8737
121.074,13.8404
122.074,13.8075
123.075,13.7757
124.074,13.7413
125.075,13.71
126.075,13.6764
127.074,13.6449
128.075,13.6128
129.075,13.5791
130.074,13.5464
131.074,13.5138
132.074,13.4812
133.075,13.4484
134.074,13.4169
135.075,13.3844
136.074,13.3535
137.074,13.3204
138.074,13.2887
139.074,13.2563
140.074,13.2229
141.074,13.1908
142.074,13.1585
143.075,13.127
144.074,13.0952
145.075,13.0637
146.075,13.033
147.075,13.0016
148.074,12.9719
149.075,12.9408
150.074,12.9096
151.075,12.8791
152.074,12.8496
153.075,12.8199
154.074,12.7906
155.074,12.7606
156.075,12.731
157.074,12.7006
158.074,12.6696
159.074,12.6404
160.075,12.6109
161.074,12.5821
162.075,12.5524
163.074,12.5226
164.075,12.4934
165.075,12.4631
166.074,12.4342
167.075,12.4027
168.074,12.373
169.075,12.343
170.074,12.3144
171.074,12.2849
172.075,12.2544
173.075,12.2265
174.074,12.1969
175.075,12.1678
176.074,12.1379
177.075,12.1091
178.074,12.0818
179.075,12.0542
180.074,12.0259
181.074,11.9988
182.074,11.9711
183.075,11.9432
184.074,11.9145
185.075,11.8872
186.074,11.8595
187.075,11.8313
188.074,11.8043
189.075,11.7774
190.074,11.7493
191.074,11.7225
192.075,11.6952
193.074,11.6668
194.075,11.6399
195.075,11.6117
196.074,11.5835
197.074,11.5561
198.075,11.5285
199.074,11.5019
200.075,11.4741
201.074,11.4474
202.074,11.4195
203.075,11.3923
204.075,11.365
205.074,11.3377
206.075,11.3108
207.075,11.284
208.074,11.2565
209.075,11.2312
210.075,11.2041
211.074,11.1786
212.075,11.1525
213.074,11.1264
214.075,11.1018
215.075,11.0762
216.074,11.0506
217.074,11.0257
218.075,11.0006
219.074,10.9747
220.075,10.9506
221.075,10.9255
222.074,10.9007
223.074,10.8763
224.075,10.8516
225.075,10.8268
226.075,10.8034
227.074,10.7785
228.074,10.7534
229.075,10.7283
230.075,10.7034
231.074,10.6784
232.075,10.6522
233.074,10.6278
234.074,10.6019
235.073,10.5771
236.073,10.5516
237.073,10.5277
238.073,10.5029
239.073,10.4774
240.074,10.4526
241.073,10.4282
242.074,10.4038
243.073,10.3798
244.074,10.356
245.074,10.224
246.073,10.1721
247.074,10.1394
248.073,10.1127
249.073,10.0877
250.074,10.0642
251.074,10.0398
252.073,10.0164
253.075,9.9934
254.075,9.9716
255.074,9.9481
256.074,9.9255
257.074,9.9018
258.074,9.8787
259.074,9.8549
260.074,9.8315
261.075,9.8126
262.075,9.784
263.074,9.7603
264.074,9.7358
265.074,9.7115
266.075,9.687
267.074,9.664
268.074,9.6402
269.075,9.6165
270.074,9.5935
271.074,9.5704
272.075,9.5476
273.074,9.525
274.074,9.5021
275.075,9.4807
276.075,9.4588
277.074,9.4369
278.075,9.4151
279.075,9.3941
280.074,9.3728
281.074,9.3515
282.075,9.3311
283.074,9.3091
284.074,9.2868
285.075,9.2658
286.075,9.2447
287.074,9.2229
288.074,9.1999
289.075,9.1782
290.075,9.1562
291.074,9.1346
292.074,9.1126
293.075,9.0904
294.074,9.0703
295.074,9.049
296.074,9.0277
297.075,9.0058
298.075,8.9859
299.075,8.9657
300.075,8.9447
301.075,8.9241
302.075,8.9032
303.075,8.8822
304.074,8.8634
305.074,8.8428
306.074,8.8237
307.074,8.803
308.075,8.7822
309.075,8.762
310.074,8.7411
311.074,8.7203
312.074,8.7007
313.074,8.6802
314.074,8.6607
315.075,8.6406
316.075,8.6215
317.075,8.6008
318.075,8.581
319.074,8.5609
320.075,8.5417
321.075,8.5225
322.075,8.5027
323.074,8.4839
324.074,8.4638
325.075,8.4438
326.075,8.4245
327.074,8.4068
328.074,8.3864
329.075,8.3665
330.074,8.3483
331.074,8.3286
332.075,8.3091
333.075,8.2891
334.074,8.2701
335.074,8.251
336.074,8.231
337.074,8.2118
338.074,8.192
339.074,8.1738
340.075,8.1548
341.075,8.1371
342.074,8.1197
343.074,8.1006
344.075,8.0833
345.074,8.0644
346.074,8.0472
347.074,8.0302
348.075,8.0121
349.075,7.9944
350.075,7.9772
351.074,7.9591
352.075,7.9409
353.075,7.9229
354.075,7.9051
355.074,7.8874
356.074,7.8689
357.075,7.852
358.074,7.8348
359.075,7.819
360.075,7.8041
361.075,7.7864
362.075,7.7688
363.075,7.752
364.074,7.7358
365.074,7.7177
366.074,7.6996
367.074,7.682
368.074,7.6638
369.074,7.6457
370.075,7.6288
371.075,7.6115
372.075,7.5952
373.074,7.5779
374.075,7.5602
375.074,7.5445
376.074,7.5272
377.074,7.5095
378.075,7.4926
379.075,7.4748
380.074,7.4575
381.075,7.4422
382.074,7.4252
383.075,7.4096
384.075,7.3939
385.074,7.3769
