t (s),V (mV)
358.145,9.161
359.144,9.1416
360.145,9.1405
361.144,9.1271
362.144,9.1081
363.144,9.0885
364.145,9.0695
365.144,9.0488
366.144,9.0047
367.145,8.9791
368.144,8.9561
369.145,8.9371
370.144,8.9153
371.145,8.8949
372.144,8.8744
373.145,8.8535
374.144,8.8329
375.145,8.8108
376.144,8.7912
377.144,8.7716
378.144,8.7515
379.145,8.7304
380.144,8.7101
381.144,8.6898
382.144,8.6692
383.145,8.6485
384.144,8.6291
385.145,8.6082
386.144,8.588
387.145,8.5674
388.144,8.5464
389.144,8.5267
390.145,8.5053
391.144,8.487
392.145,8.4657
393.144,8.4477
394.144,8.4268
395.145,8.4068
396.144,8.3864
397.144,8.3641
398.145,8.3463
399.144,8.3271
400.144,8.3075
401.144,8.2871
402.144,8.2683
403.145,8.2476
404.145,8.2297
405.144,8.2101
406.144,8.1898
407.145,8.1704
408.145,8.1518
409.144,8.1318
